concept,field,family,role,source,note
Motif_NPA 1,Motif,Structural,structural,hand,
Motif_NPA 2,Motif,Structural,structural,hand,
Motif_Selectivity filter,Motif,Structural,structural,hand,
Region_Alpha-1,Region,Structural,structural,hand,
Region_Alpha-2,Region,Structural,structural,hand,
Region_Coil 1A,Region,Structural,structural,hand,
Region_Coil 1B,Region,Structural,structural,hand,
Region_Coil 2,Region,Structural,structural,hand,
Region_Framework-1,Region,Structural,structural,hand,
Region_Framework-2,Region,Structural,structural,hand,
Region_Framework-3,Region,Structural,structural,hand,
Region_Head,Region,Structural,structural,hand,
Region_Head domain (RuvB-H),Region,Structural,structural,hand,
Region_Hydrophobic,Region,Structural,structural,hand,
Region_N-domain,Region,Structural,structural,inherited,
Region_Tail,Region,Structural,structural,hand,
Turn,Turn,Structural,structural,rule,
Domain_BPL/LPL catalytic,Domain,Transferase,catalytic,hand,
Domain_CoA carboxyltransferase C-terminal,Domain,Transferase,catalytic,hand,
Domain_CoA carboxyltransferase N-terminal,Domain,Transferase,catalytic,hand,
Domain_DHHC,Domain,Transferase,catalytic,hand,
Domain_GST C-terminal,Domain,Transferase,catalytic,inherited,
Domain_GST N-terminal,Domain,Transferase,catalytic,hand,
Domain_MTTase N-terminal,Domain,Transferase,catalytic,hand,
Domain_N-acetyltransferase,Domain,Transferase,catalytic,inherited,
Domain_PABS,Domain,Transferase,catalytic,hand,
Domain_Pyruvate carboxyltransferase,Domain,Transferase,catalytic,hand,
Domain_SET,Domain,Transferase,catalytic,hand,
Domain_UBC core,Domain,Transferase,catalytic,inherited,
Domain_YrdC-like,Domain,Transferase,catalytic,hand,
Motif_HXXXXD motif,Motif,Transferase,catalytic,hand,
Region_Cytidylyltransferase,Region,Transferase,catalytic,inherited,
Region_N-acetyltransferase,Region,Transferase,catalytic,inherited,
Region_Pyrophosphorylase,Region,Transferase,catalytic,inherited,
Region_Uroporphyrinogen-III C-methyltransferase,Region,Transferase,catalytic,inherited,
